,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
107,24.0,9.0,13.0,9.0,24.0,16.0,8.0,11.0,18.0,6.0,6.0,7.0,20.0,24.0,17.0,8.0,6.0,9.0,13.0,16.0,16.0,20.0,24.0
108,24.0,12.0,14.0,5.0,24.0,7.0,17.0,10.0,10.0,10.0,6.0,19.0,14.0,21.0,19.0,7.0,7.0,12.0,5.0,24.0,22.0,19.0,16.0
109,8.0,8.0,12.0,9.0,19.0,23.0,24.0,3.0,4.0,6.0,14.0,21.0,15.0,24.0,22.0,11.0,9.0,9.0,2.0,24.0,20.0,16.0,21.0
110,13.0,12.0,20.0,16.0,13.0,17.0,12.0,18.0,11.0,14.0,10.0,12.0,13.0,15.0,16.0,6.0,15.0,7.0,17.0,11.0,24.0,14.0,18.0
111,8.0,19.0,10.0,7.0,21.0,20.0,18.0,11.0,11.0,10.0,3.0,19.0,24.0,16.0,15.0,10.0,13.0,9.0,6.0,14.0,21.0,24.0,15.0
112,14.0,10.0,24.0,12.0,19.0,11.0,13.0,14.0,1.0,12.0,3.0,16.0,18.0,24.0,21.0,9.0,9.0,15.0,13.0,10.0,16.0,24.0,16.0
113,11.0,5.0,16.0,5.0,20.0,24.0,22.0,6.0,3.0,5.0,20.0,3.0,24.0,24.0,24.0,5.0,4.0,11.0,10.0,24.0,16.0,24.0,18.0
114,10.0,16.0,9.0,11.0,24.0,24.0,9.0,1.0,2.0,7.0,24.0,9.0,22.0,20.0,24.0,2.0,8.0,11.0,11.0,14.0,21.0,24.0,21.0
115,12.0,11.0,12.0,11.0,18.0,24.0,15.0,0.0,5.0,9.0,16.0,20.0,21.0,21.0,17.0,7.0,20.0,6.0,14.0,21.0,12.0,22.0,10.0
116,16.0,10.0,10.0,5.0,24.0,22.0,16.0,14.0,5.0,10.0,15.0,17.0,14.0,20.0,14.0,12.0,10.0,10.0,14.0,20.0,13.0,17.0,16.0
